id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,TOI-871 b,68.0473,3.41 Earths,10.569,2024
1,KMT-2023-BLG-1642L b,6980,1.08 Jupiters,Unknown,2024
2,KMT-2023-BLG-1454L b,7220,0.63 Jupiters,Unknown,2024
3,KMT-2023-BLG-0416L b,5900,13.03096 Earths,Unknown,2024
4,HIP 39017 b,66.3217,23.6 Jupiters,6.96076,2024
5,TOI-1467 b,37.4418,4.02 Earths,12.293,2024
6,TOI-771 b,25.2788,2.61 Earths,14.888,2024
7,NGTS-30 b,238.377,0.96 Jupiters,12.537,2024
8,KOI-2513.01,1369.87,23 Jupiters,14.913,2023
9,TOI-2068 b,52.9328,3.97 Earths,13.007,2024
10,TOI-5799 b,27.8123,3.27 Earths,13.29,2024
11,KMT-2021-BLG-1150L b,12396,Unknown,Unknown,2023
12,OGLE-2017-BLG-0640L b,6630,1.62 Jupiters,Unknown,2024
13,OGLE-2017-BLG-1275L b,7690,5.9 Jupiters,Unknown,2024
14,OGLE-2017-BLG-1237L b,6030,3.8 Jupiters,Unknown,2024
15,TOI-871 b,68.0473,3.41 Earths,10.569,2024
16,KMT-2023-BLG-1642L b,6980,1.08 Jupiters,Unknown,2024
17,KMT-2023-BLG-1454L b,7220,0.63 Jupiters,Unknown,2024
18,KMT-2023-BLG-0416L b,5900,13.03096 Earths,Unknown,2024
19,HIP 39017 b,66.3217,23.6 Jupiters,6.96076,2024
20,TOI-1467 b,37.4418,4.02 Earths,12.293,2024
21,TOI-771 b,25.2788,2.61 Earths,14.888,2024
22,NGTS-30 b,238.377,0.96 Jupiters,12.537,2024
23,KOI-2513.01,1369.87,23 Jupiters,14.913,2023
24,TOI-2068 b,52.9328,3.97 Earths,13.007,2024
25,TOI-5799 b,27.8123,3.27 Earths,13.29,2024
26,KMT-2021-BLG-1150L b,12396,Unknown,Unknown,2023
27,OGLE-2017-BLG-0640L b,6630,1.62 Jupiters,Unknown,2024
28,OGLE-2017-BLG-1275L b,7690,5.9 Jupiters,Unknown,2024
29,OGLE-2017-BLG-1237L b,6030,3.8 Jupiters,Unknown,2024
30,HD 104067 c,20.3632,13.2 Earths,7.92,2024
31,M62H b,Unknown,2.47 Jupiters,Unknown,2024
32,Luhman 16 b,Unknown,29.4 Jupiters,Unknown,2017
33,TOI-4438 b,30.0346,5.4 Earths,13.69,2024
34,HD 77946 b,99.451,8.38 Earths,8.99,2024
35,OGLE-2016-BLG-1093L b,8120,0.71 Jupiters,Unknown,2022
36,NGC 2682 Sand 1429 b,852.793,1.8 Jupiters,12.704,2024
37,CI Tauri c,157.998,3.6 Jupiters,13.642,2024
38,HS Piscium b,37.6604,1.46 Jupiters,10.769,2024
39,TOI-1994 b,515.603,22.1 Jupiters,10.514,2024
40,TOI-4515 b,193.499,2.005 Jupiters,11.938,2024
41,LHS 1678 d,19.8782,0.907 Earths,12.6,2024
42,Teegarden’s Star d,3.83078,0.82 Earths,15.13,2024
43,TOI-1199 b,248.427,0.239 Jupiters,11.093,2024
44,TOI-1273 b,177.118,0.222 Jupiters,10.98,2024
