id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,Gliese 12 b,12.21,3.87 Earths,12.6,2024
1,SPECULOOS-3 b,6792.0363261718,0.894 Earths,17.8,2024
2,TOI-4633 c,95.2016,0.387 Jupiters,9.017,2024
3,2MASS J0249-0557 c,66.0613,11.6 Jupiters,18.3,2018
4,TOI-815 c,59.7117,23.5 Earths,10.217,2024
5,TOI-815 b,59.7117,7.6 Earths,10.217,2024
6,TOI-4559 b,31.6354,2.59 Earths,13.115,2024
7,TOI-1739 b,70.9819,3.52 Earths,10.692,2024
8,Kepler-1660 AB b,1188.54,4.992 Jupiters,13.595,2023
9,ITG 15 b,136.37,21 Jupiters,Unknown,2024
10,TIC 139270665 c,189.875,4.89 Jupiters,10.385,2024
11,TIC 139270665 b,189.875,0.463 Jupiters,10.385,2024
12,HIP 77900 b,150.862,21 Jupiters,6.15,2024
13,2MASS J11011926-7732383 b,Unknown,28 Jupiters,Unknown,2024
14,G 196-3 b,21.7912,26 Jupiters,11.672,2024
15,Gliese 12 b,12.21,3.87 Earths,12.6,2024
16,SPECULOOS-3 b,6792.0363261718,0.894 Earths,17.8,2024
17,TOI-4633 c,95.2016,0.387 Jupiters,9.017,2024
18,2MASS J0249-0557 c,66.0613,11.6 Jupiters,18.3,2018
19,TOI-815 c,59.7117,23.5 Earths,10.217,2024
20,TOI-815 b,59.7117,7.6 Earths,10.217,2024
21,TOI-4559 b,31.6354,2.59 Earths,13.115,2024
22,TOI-1739 b,70.9819,3.52 Earths,10.692,2024
23,Kepler-1660 AB b,1188.54,4.992 Jupiters,13.595,2023
24,ITG 15 b,136.37,21 Jupiters,Unknown,2024
25,TIC 139270665 c,189.875,4.89 Jupiters,10.385,2024
26,TIC 139270665 b,189.875,0.463 Jupiters,10.385,2024
27,HIP 77900 b,150.862,21 Jupiters,6.15,2024
28,2MASS J11011926-7732383 b,Unknown,28 Jupiters,Unknown,2024
29,G 196-3 b,21.7912,26 Jupiters,11.672,2024
30,2MASS J03590986+2009361 b,117.435,18 Jupiters,Unknown,2024
31,2MASS J21252752-8138278 b,34.1154,12 Jupiters,11.804,2024
32,2MASS J11550485-7919108 b,100.862,20 Jupiters,16.957,2024
33,TOI-4336 A b,22.5455,5.14 Earths,13.6,2024
34,TOI-871 b,68.0473,3.41 Earths,10.569,2024
35,KMT-2023-BLG-1642L b,6980,1.08 Jupiters,Unknown,2024
36,KMT-2023-BLG-1454L b,7220,0.63 Jupiters,Unknown,2024
37,KMT-2023-BLG-0416L b,5900,13.03096 Earths,Unknown,2024
38,HIP 39017 b,66.3217,23.6 Jupiters,6.96076,2024
39,TOI-1467 b,37.4418,4.02 Earths,12.293,2024
40,TOI-771 b,25.2788,2.61 Earths,14.888,2024
41,NGTS-30 b,238.377,0.96 Jupiters,12.537,2024
42,KOI-2513.01,1369.87,23 Jupiters,14.913,2023
43,TOI-2068 b,52.9328,3.97 Earths,13.007,2024
44,TOI-5799 b,27.8123,3.27 Earths,13.29,2024
